Case_Nature,Suspected_Abuse_Type,Number_of_Cases,Source_Year,Department,Data_Source,Page
Abuse Cases,Sexual abuse,11,2010-2011,NGO - ACA,ACA_report_10-11.pdf,147
Abuse Cases,Psychological abuse,2,2010-2011,NGO - ACA,ACA_report_10-11.pdf,147
Abuse Cases,Physical abuse,31,2010-2011,NGO - ACA,ACA_report_10-11.pdf,147
Abuse Cases,Neglect,4,2010-2011,NGO - ACA,ACA_report_10-11.pdf,147
Child Management (at risk),N/A,60,2010-2011,NGO - ACA,ACA_report_10-11.pdf,147
Child Management,N/A,16,2010-2011,NGO - ACA,ACA_report_10-11.pdf,147
Abuse Cases,Multiple abuse,7,2010-2011,NGO - ACA,ACA_report_10-11.pdf,147
Abuse Cases,Sexual abuse,11,2011-2012,NGO - ACA,ACA-AnnualReport-2011-12.pdf,149
Abuse Cases,Psychological abuse,2,2011-2012,NGO - ACA,ACA-AnnualReport-2011-12.pdf,149
Abuse Cases,Physical abuse,31,2011-2012,NGO - ACA,ACA-AnnualReport-2011-12.pdf,149
Abuse Cases,Neglect,7,2011-2012,NGO - ACA,ACA-AnnualReport-2011-12.pdf,149
Child Management (at risk),N/A,62,2011-2012,NGO - ACA,ACA-AnnualReport-2011-12.pdf,149
Child Management,N/A,19,2011-2012,NGO - ACA,ACA-AnnualReport-2011-12.pdf,149
Children Witness Domestic Violence,N/A,1,2011-2012,NGO - ACA,ACA-AnnualReport-2011-12.pdf,149
Abuse Cases,Multiple abuse,9,2011-2012,NGO - ACA,ACA-AnnualReport-2011-12.pdf,149
Abuse Cases,Sexual abuse,4,2012-2013,NGO - ACA,ACA-AnnualReport-2012-13.pdf,137
Abuse Cases,Psychological abuse,1,2012-2013,NGO - ACA,ACA-AnnualReport-2012-13.pdf,137
Abuse Cases,Physical abuse,25,2012-2013,NGO - ACA,ACA-AnnualReport-2012-13.pdf,137
Abuse Cases,Neglect,7,2012-2013,NGO - ACA,ACA-AnnualReport-2012-13.pdf,137
Child Management (at risk),N/A,66,2012-2013,NGO - ACA,ACA-AnnualReport-2012-13.pdf,137
Child Management,N/A,18,2012-2013,NGO - ACA,ACA-AnnualReport-2012-13.pdf,137
Abuse Cases,Multiple abuse,6,2012-2013,NGO - ACA,ACA-AnnualReport-2012-13.pdf,137
Abuse Cases,Sexual abuse,4,2013-2014,NGO - ACA,ACA-AnnualReport-2013-14.pdf,132
Abuse Cases,Psychological abuse,3,2013-2014,NGO - ACA,ACA-AnnualReport-2013-14.pdf,132
Abuse Cases,Physical abuse,15,2013-2014,NGO - ACA,ACA-AnnualReport-2013-14.pdf,132
Abuse Cases,Neglect,5,2013-2014,NGO - ACA,ACA-AnnualReport-2013-14.pdf,132
Child Management (at risk),N/A,47,2013-2014,NGO - ACA,ACA-AnnualReport-2013-14.pdf,132
Child Management,N/A,23,2013-2014,NGO - ACA,ACA-AnnualReport-2013-14.pdf,132
Abuse Cases,Multiple abuse,6,2013-2014,NGO - ACA,ACA-AnnualReport-2013-14.pdf,132
Abuse Cases,Sexual abuse,4,2014-2015,NGO - ACA,ACA-AnnualReport-2014-15.pdf,128
Abuse Cases,Psychological abuse,3,2014-2015,NGO - ACA,ACA-AnnualReport-2014-15.pdf,128
Abuse Cases,Physical abuse,19,2014-2015,NGO - ACA,ACA-AnnualReport-2014-15.pdf,128
Abuse Cases,Neglect,7,2014-2015,NGO - ACA,ACA-AnnualReport-2014-15.pdf,128
Child Management (at risk),N/A,54,2014-2015,NGO - ACA,ACA-AnnualReport-2014-15.pdf,128
Child Management,N/A,37,2014-2015,NGO - ACA,ACA-AnnualReport-2014-15.pdf,128
Abuse Cases,Multiple abuse,6,2014-2015,NGO - ACA,ACA-AnnualReport-2014-15.pdf,128
Abuse Cases,Sexual abuse,4,2015-2016,NGO - ACA,ACA-AnnualReport-2015-16.pdf,136
Abuse Cases,Psychological abuse,3,2015-2016,NGO - ACA,ACA-AnnualReport-2015-16.pdf,136
Abuse Cases,Physical abuse,24,2015-2016,NGO - ACA,ACA-AnnualReport-2015-16.pdf,136
Abuse Cases,Neglect,7,2015-2016,NGO - ACA,ACA-AnnualReport-2015-16.pdf,136
Child Management (at risk),N/A,45,2015-2016,NGO - ACA,ACA-AnnualReport-2015-16.pdf,136
Child Management,N/A,40,2015-2016,NGO - ACA,ACA-AnnualReport-2015-16.pdf,136
Abuse Cases,Multiple abuse,7,2015-2016,NGO - ACA,ACA-AnnualReport-2015-16.pdf,136
Abuse Cases,Sexual abuse,1,2016-2017,NGO - ACA,ACA-AnnualReport-2016-17.pdf,153
Abuse Cases,Psychological abuse,2,2016-2017,NGO - ACA,ACA-AnnualReport-2016-17.pdf,153
Abuse Cases,Physical abuse,19,2016-2017,NGO - ACA,ACA-AnnualReport-2016-17.pdf,153
Abuse Cases,Neglect,4,2016-2017,NGO - ACA,ACA-AnnualReport-2016-17.pdf,153
Child Management (at risk),N/A,43,2016-2017,NGO - ACA,ACA-AnnualReport-2016-17.pdf,153
Child Management,N/A,58,2016-2017,NGO - ACA,ACA-AnnualReport-2016-17.pdf,153
Abuse Cases,Multiple abuse,6,2016-2017,NGO - ACA,ACA-AnnualReport-2016-17.pdf,153
Abuse Cases,Sexual abuse,2,2017-2018,NGO - ACA,ACA-AnnualReport-2017-18.pdf,153
Abuse Cases,Psychological abuse,1,2017-2018,NGO - ACA,ACA-AnnualReport-2017-18.pdf,153
Abuse Cases,Physical abuse,16,2017-2018,NGO - ACA,ACA-AnnualReport-2017-18.pdf,153
Abuse Cases,Neglect,1,2017-2018,NGO - ACA,ACA-AnnualReport-2017-18.pdf,153
Child Management (at risk),N/A,39,2017-2018,NGO - ACA,ACA-AnnualReport-2017-18.pdf,153
Child Management,N/A,76,2017-2018,NGO - ACA,ACA-AnnualReport-2017-18.pdf,153
Abuse Cases,Multiple abuse,5,2017-2018,NGO - ACA,ACA-AnnualReport-2017-18.pdf,153
Abuse Cases,Sexual abuse,2,2018-2019,NGO - ACA,ACA-AnnualReport-2018-9.pdf,152
Abuse Cases,Physical abuse,19,2018-2019,NGO - ACA,ACA-AnnualReport-2018-9.pdf,152
Abuse Cases,Neglect,1,2018-2019,NGO - ACA,ACA-AnnualReport-2018-9.pdf,152
Child Management (at risk),N/A,41,2018-2019,NGO - ACA,ACA-AnnualReport-2018-9.pdf,152
Child Management,N/A,78,2018-2019,NGO - ACA,ACA-AnnualReport-2018-9.pdf,152
Abuse Cases,Multiple abuse,4,2018-2019,NGO - ACA,ACA-AnnualReport-2018-9.pdf,152
Abuse Cases,Sexual abuse,1,2019-2020,NGO - ACA,ACA-AnnualReport-2019-20.pdf,156
Abuse Cases,Physical abuse,14,2019-2020,NGO - ACA,ACA-AnnualReport-2019-20.pdf,156
Abuse Cases,Neglect,1,2019-2020,NGO - ACA,ACA-AnnualReport-2019-20.pdf,156
Child Management (at risk),N/A,82,2019-2020,NGO - ACA,ACA-AnnualReport-2019-20.pdf,156
Child Management,N/A,55,2019-2020,NGO - ACA,ACA-AnnualReport-2019-20.pdf,156
Child Grief Counselling,N/A,1,2019-2020,NGO - ACA,ACA-AnnualReport-2019-20.pdf,156
Abuse Cases,Multiple abuse,2,2019-2020,NGO - ACA,ACA-AnnualReport-2019-20.pdf,156
Abuse Cases,Sexual abuse,2,2020-2021,NGO - ACA,ACA-AnnualReport-2020-21.pdf,124
Abuse Cases,Physical abuse,16,2020-2021,NGO - ACA,ACA-AnnualReport-2020-21.pdf,124
Abuse Cases,Neglect,2,2020-2021,NGO - ACA,ACA-AnnualReport-2020-21.pdf,124
Child Management (at risk),N/A,101,2020-2021,NGO - ACA,ACA-AnnualReport-2020-21.pdf,124
Child Management,N/A,44,2020-2021,NGO - ACA,ACA-AnnualReport-2020-21.pdf,124
Child Grief Counselling,N/A,1,2020-2021,NGO - ACA,ACA-AnnualReport-2020-21.pdf,124
Abuse Cases,Multiple abuse,2,2020-2021,NGO - ACA,ACA-AnnualReport-2020-21.pdf,124
Abuse Cases,Sexual abuse,3,2021-2022,NGO - ACA,ACA-AnnualReport-2021-22.pdf,128
Abuse Cases,Multiple abuse,2,2021-2022,NGO - ACA,ACA-AnnualReport-2021-22.pdf,128
Abuse Cases,Physical abuse,19,2021-2022,NGO - ACA,ACA-AnnualReport-2021-22.pdf,128
Abuse Cases,Neglect,1,2021-2022,NGO - ACA,ACA-AnnualReport-2021-22.pdf,128
