Age,Number_of_Perpetrators,Source_Year,Department,Data_Source,Page
18 and over,61,2010-2011,NGO - ECSAF,ECSAF Annual Report 2010-2011.pdf,21
Under 18,37,2010-2011,NGO - ECSAF,ECSAF Annual Report 2010-2011.pdf,21
18 and over,41,2011-2012,NGO - ECSAF,ECSAF Annual Report 2011-2012.pdf,21
Under 18,48,2011-2012,NGO - ECSAF,ECSAF Annual Report 2011-2012.pdf,21
18 and over,55,2012-2013,NGO - ECSAF,ECSAF_Annual Report 2012-2013.pdf,23
Under 18,37,2012-2013,NGO - ECSAF,ECSAF_Annual Report 2012-2013.pdf,23
18 and over,49,2013-2014,NGO - ECSAF,ECSAF_Annual Report 2013-2014.pdf,25
Under 18,36,2013-2014,NGO - ECSAF,ECSAF_Annual Report 2013-2014.pdf,25
18 and over,44,2014-2015,NGO - ECSAF,ECSAF-Annual-Report-2014-15.pdf,25
Under 18,63,2014-2015,NGO - ECSAF,ECSAF-Annual-Report-2014-15.pdf,25
18 and over,41,2015-2016,NGO - ECSAF,ECSAF-Annual-Report-2015-16.pdf,25
Under 18,56,2015-2016,NGO - ECSAF,ECSAF-Annual-Report-2015-16.pdf,25
18 and over,34,2016-2017,NGO - ECSAF,ECSAF-Annual-Report-2016-17.pdf,25
Under 18,38,2016-2017,NGO - ECSAF,ECSAF-Annual-Report-2016-17.pdf,25
18 and over,44,2017-2018,NGO - ECSAF,ECSAF-Annual-Report-2017-18.pdf,25
Under 18,28,2017-2018,NGO - ECSAF,ECSAF-Annual-Report-2017-18.pdf,25
18 and over,22,2018-2019,NGO - ECSAF,ECSAF-Annual-Report-2018-19.pdf,25
Under 18,34,2018-2019,NGO - ECSAF,ECSAF-Annual-Report-2018-19.pdf,25
18 and over,15,2019-2020,NGO - ECSAF,ECSAF-Annual-Report-2019-2020年報.pdf,22
Under 18,13,2019-2020,NGO - ECSAF,ECSAF-Annual-Report-2019-2020年報.pdf,22
18 and over,30,2020-2021,NGO - ECSAF,ECSAF-Annual-Report-2020-21-1.pdf,22
Under 18,12,2020-2021,NGO - ECSAF,ECSAF-Annual-Report-2020-21-1.pdf,22
18 and over,17,2021-2022,NGO - ECSAF,ECSAF-Annual Report 2021-2022.pdf,22
Under 18,15,2021-2022,NGO - ECSAF,ECSAF-Annual Report 2021-2022.pdf,22
Unknown,4,2021-2022,NGO - ECSAF,ECSAF-Annual Report 2021-2022.pdf,22
18 and over,18,2022-2023,NGO - ECSAF,ECSAF-Annual-Report-2022-23.pdf,22
Under 18,23,2022-2023,NGO - ECSAF,ECSAF-Annual-Report-2022-23.pdf,22
Unknown,0,2022-2023,NGO - ECSAF,ECSAF-Annual-Report-2022-23.pdf,22
18 and over,11,2023-2024,NGO - ECSAF,ECSAF-Annual-Report-2023-24.pdf,21
Under 18,14,2023-2024,NGO - ECSAF,ECSAF-Annual-Report-2023-24.pdf,21
Unknown,0,2023-2024,NGO - ECSAF,ECSAF-Annual-Report-2023-24.pdf,21
