Gender,Number_of_Perpetrators,Source_Year,Department,Data_Source,Page
F,17,2010-2011,NGO - ECSAF,ECSAF Annual Report 2010-2011.pdf,21
M,81,2010-2011,NGO - ECSAF,ECSAF Annual Report 2010-2011.pdf,21
F,14,2011-2012,NGO - ECSAF,ECSAF Annual Report 2011-2012.pdf,21
M,75,2011-2012,NGO - ECSAF,ECSAF Annual Report 2011-2012.pdf,21
F,10,2012-2013,NGO - ECSAF,ECSAF_Annual Report 2012-2013.pdf,23
M,82,2012-2013,NGO - ECSAF,ECSAF_Annual Report 2012-2013.pdf,23
F,12,2013-2014,NGO - ECSAF,ECSAF_Annual Report 2013-2014.pdf,25
M,71,2013-2014,NGO - ECSAF,ECSAF_Annual Report 2013-2014.pdf,25
Unknown,2,2013-2014,NGO - ECSAF,ECSAF_Annual Report 2013-2014.pdf,25
F,18,2014-2015,NGO - ECSAF,ECSAF-Annual-Report-2014-15.pdf,25
M,88,2014-2015,NGO - ECSAF,ECSAF-Annual-Report-2014-15.pdf,25
Unknown,1,2014-2015,NGO - ECSAF,ECSAF-Annual-Report-2014-15.pdf,25
F,20,2015-2016,NGO - ECSAF,ECSAF-Annual-Report-2015-16.pdf,25
M,75,2015-2016,NGO - ECSAF,ECSAF-Annual-Report-2015-16.pdf,25
Unknown,2,2015-2016,NGO - ECSAF,ECSAF-Annual-Report-2015-16.pdf,25
F,7,2016-2017,NGO - ECSAF,ECSAF-Annual-Report-2016-17.pdf,25
M,64,2016-2017,NGO - ECSAF,ECSAF-Annual-Report-2016-17.pdf,25
Unknown,1,2016-2017,NGO - ECSAF,ECSAF-Annual-Report-2016-17.pdf,25
F,10,2017-2018,NGO - ECSAF,ECSAF-Annual-Report-2017-18.pdf,25
M,61,2017-2018,NGO - ECSAF,ECSAF-Annual-Report-2017-18.pdf,25
Unknown,1,2017-2018,NGO - ECSAF,ECSAF-Annual-Report-2017-18.pdf,25
F,7,2018-2019,NGO - ECSAF,ECSAF-Annual-Report-2018-19.pdf,25
M,49,2018-2019,NGO - ECSAF,ECSAF-Annual-Report-2018-19.pdf,25
F,2,2019-2020,NGO - ECSAF,ECSAF-Annual-Report-2019-2020年報.pdf,22
M,26,2019-2020,NGO - ECSAF,ECSAF-Annual-Report-2019-2020年報.pdf,22
F,10,2020-2021,NGO - ECSAF,ECSAF-Annual-Report-2020-21-1.pdf,22
M,31,2020-2021,NGO - ECSAF,ECSAF-Annual-Report-2020-21-1.pdf,22
Unknown,1,2020-2021,NGO - ECSAF,ECSAF-Annual-Report-2020-21-1.pdf,22
F,3,2021-2022,NGO - ECSAF,ECSAF-Annual Report 2021-2022.pdf,22
M,31,2021-2022,NGO - ECSAF,ECSAF-Annual Report 2021-2022.pdf,22
Unknown,2,2021-2022,NGO - ECSAF,ECSAF-Annual Report 2021-2022.pdf,22
F,4,2022-2023,NGO - ECSAF,ECSAF-Annual-Report-2022-23.pdf,22
M,37,2022-2023,NGO - ECSAF,ECSAF-Annual-Report-2022-23.pdf,22
Unknown,0,2022-2023,NGO - ECSAF,ECSAF-Annual-Report-2022-23.pdf,22
F,2,2023-2024,NGO - ECSAF,ECSAF-Annual-Report-2023-24.pdf,21
M,23,2023-2024,NGO - ECSAF,ECSAF-Annual-Report-2023-24.pdf,21
Unknown,0,2023-2024,NGO - ECSAF,ECSAF-Annual-Report-2023-24.pdf,21
