Age,Number_of_Victims,Source_Year,Department,Data_Source,Page
0-3,3,2020-2021,NGO - ECSAF,ECSAF-Annual-Report-2020-21-1.pdf,21
4-6,11,2020-2021,NGO - ECSAF,ECSAF-Annual-Report-2020-21-1.pdf,21
7-9,8,2020-2021,NGO - ECSAF,ECSAF-Annual-Report-2020-21-1.pdf,21
10-12,12,2020-2021,NGO - ECSAF,ECSAF-Annual-Report-2020-21-1.pdf,21
13-15,7,2020-2021,NGO - ECSAF,ECSAF-Annual-Report-2020-21-1.pdf,21
16-18,2,2020-2021,NGO - ECSAF,ECSAF-Annual-Report-2020-21-1.pdf,21
Unknown,1,2020-2021,NGO - ECSAF,ECSAF-Annual-Report-2020-21-1.pdf,21
0-3,3,2019-2020,NGO - ECSAF,ECSAF-Annual-Report-2019-2020年報.pdf,21
4-6,9,2019-2020,NGO - ECSAF,ECSAF-Annual-Report-2019-2020年報.pdf,21
7-9,5,2019-2020,NGO - ECSAF,ECSAF-Annual-Report-2019-2020年報.pdf,21
10-12,6,2019-2020,NGO - ECSAF,ECSAF-Annual-Report-2019-2020年報.pdf,21
13-15,5,2019-2020,NGO - ECSAF,ECSAF-Annual-Report-2019-2020年報.pdf,21
16-18,1,2019-2020,NGO - ECSAF,ECSAF-Annual-Report-2019-2020年報.pdf,21
Unknown,1,2019-2020,NGO - ECSAF,ECSAF-Annual-Report-2019-2020年報.pdf,21
0-3,6,2018-2019,NGO - ECSAF,ECSAF-Annual-Report-2018-19.pdf,24
4-6,13,2018-2019,NGO - ECSAF,ECSAF-Annual-Report-2018-19.pdf,24
7-9,15,2018-2019,NGO - ECSAF,ECSAF-Annual-Report-2018-19.pdf,24
10-12,5,2018-2019,NGO - ECSAF,ECSAF-Annual-Report-2018-19.pdf,24
13-15,15,2018-2019,NGO - ECSAF,ECSAF-Annual-Report-2018-19.pdf,24
16-18,3,2018-2019,NGO - ECSAF,ECSAF-Annual-Report-2018-19.pdf,24
0-3,10,2017-2018,NGO - ECSAF,ECSAF-Annual-Report-2017-18.pdf,24
4-6,27,2017-2018,NGO - ECSAF,ECSAF-Annual-Report-2017-18.pdf,24
7-9,13,2017-2018,NGO - ECSAF,ECSAF-Annual-Report-2017-18.pdf,24
10-12,7,2017-2018,NGO - ECSAF,ECSAF-Annual-Report-2017-18.pdf,24
13-15,11,2017-2018,NGO - ECSAF,ECSAF-Annual-Report-2017-18.pdf,24
16-18,4,2017-2018,NGO - ECSAF,ECSAF-Annual-Report-2017-18.pdf,24
Unknown,1,2017-2018,NGO - ECSAF,ECSAF-Annual-Report-2017-18.pdf,24
0-3,5,2016-2017,NGO - ECSAF,ECSAF-Annual-Report-2016-17.pdf,24
4-6,19,2016-2017,NGO - ECSAF,ECSAF-Annual-Report-2016-17.pdf,24
7-9,18,2016-2017,NGO - ECSAF,ECSAF-Annual-Report-2016-17.pdf,24
10-12,9,2016-2017,NGO - ECSAF,ECSAF-Annual-Report-2016-17.pdf,24
13-15,10,2016-2017,NGO - ECSAF,ECSAF-Annual-Report-2016-17.pdf,24
16-18,8,2016-2017,NGO - ECSAF,ECSAF-Annual-Report-2016-17.pdf,24
0-3,11,2015-2016,NGO - ECSAF,ECSAF-Annual-Report-2015-16.pdf,24
4-6,16,2015-2016,NGO - ECSAF,ECSAF-Annual-Report-2015-16.pdf,24
7-9,31,2015-2016,NGO - ECSAF,ECSAF-Annual-Report-2015-16.pdf,24
10-12,15,2015-2016,NGO - ECSAF,ECSAF-Annual-Report-2015-16.pdf,24
13-15,19,2015-2016,NGO - ECSAF,ECSAF-Annual-Report-2015-16.pdf,24
16-18,3,2015-2016,NGO - ECSAF,ECSAF-Annual-Report-2015-16.pdf,24
0-3,18,2014-2015,NGO - ECSAF,ECSAF-Annual-Report-2014-15.pdf,24
4-6,39,2014-2015,NGO - ECSAF,ECSAF-Annual-Report-2014-15.pdf,24
7-9,21,2014-2015,NGO - ECSAF,ECSAF-Annual-Report-2014-15.pdf,24
10-12,16,2014-2015,NGO - ECSAF,ECSAF-Annual-Report-2014-15.pdf,24
13-15,9,2014-2015,NGO - ECSAF,ECSAF-Annual-Report-2014-15.pdf,24
16-18,2,2014-2015,NGO - ECSAF,ECSAF-Annual-Report-2014-15.pdf,24
0-3,13,2013-2014,NGO - ECSAF,ECSAF_Annual Report 2013-2014.pdf,24
4-6,27,2013-2014,NGO - ECSAF,ECSAF_Annual Report 2013-2014.pdf,24
7-9,20,2013-2014,NGO - ECSAF,ECSAF_Annual Report 2013-2014.pdf,24
10-12,13,2013-2014,NGO - ECSAF,ECSAF_Annual Report 2013-2014.pdf,24
13-15,9,2013-2014,NGO - ECSAF,ECSAF_Annual Report 2013-2014.pdf,24
16-18,1,2013-2014,NGO - ECSAF,ECSAF_Annual Report 2013-2014.pdf,24
0-3,12,2012-2013,NGO - ECSAF,ECSAF_Annual Report 2012-2013.pdf,22
4-6,23,2012-2013,NGO - ECSAF,ECSAF_Annual Report 2012-2013.pdf,22
7-9,18,2012-2013,NGO - ECSAF,ECSAF_Annual Report 2012-2013.pdf,22
10-12,16,2012-2013,NGO - ECSAF,ECSAF_Annual Report 2012-2013.pdf,22
13-15,11,2012-2013,NGO - ECSAF,ECSAF_Annual Report 2012-2013.pdf,22
16-18,8,2012-2013,NGO - ECSAF,ECSAF_Annual Report 2012-2013.pdf,22
Unknown,2,2012-2013,NGO - ECSAF,ECSAF_Annual Report 2012-2013.pdf,22
0-3,10,2011-2012,NGO - ECSAF,ECSAF Annual Report 2011-2012.pdf,20
4-6,22,2011-2012,NGO - ECSAF,ECSAF Annual Report 2011-2012.pdf,20
7-9,12,2011-2012,NGO - ECSAF,ECSAF Annual Report 2011-2012.pdf,20
10-12,17,2011-2012,NGO - ECSAF,ECSAF Annual Report 2011-2012.pdf,20
13-15,18,2011-2012,NGO - ECSAF,ECSAF Annual Report 2011-2012.pdf,20
16-18,4,2011-2012,NGO - ECSAF,ECSAF Annual Report 2011-2012.pdf,20
Unknown,2,2011-2012,NGO - ECSAF,ECSAF Annual Report 2011-2012.pdf,20
0-3,14,2010-2011,NGO - ECSAF,ECSAF Annual Report 2010-2011.pdf,20
4-6,22,2010-2011,NGO - ECSAF,ECSAF Annual Report 2010-2011.pdf,20
