Phase,Number,Year,Source
Kindergarten Teachers,12384,2013,B10100032024AN24B0100.pdf
Primary Teachers,22651,2013,B10100032024AN24B0100.pdf
Secondary Teachers,29594,2013,B10100032024AN24B0100.pdf
Kindergarten Teachers,14145,2018,B10100032024AN24B0100.pdf
Primary Teachers,27362,2018,B10100032024AN24B0100.pdf
Secondary Teachers,28971,2018,B10100032024AN24B0100.pdf
Kindergarten Teachers,14389,2019,B10100032024AN24B0100.pdf
Primary Teachers,27987,2019,B10100032024AN24B0100.pdf
Secondary Teachers,29304,2019,B10100032024AN24B0100.pdf
Kindergarten Teachers,14119,2020,B10100032024AN24B0100.pdf
Primary Teachers,28069,2020,B10100032024AN24B0100.pdf
Secondary Teachers,29602,2020,B10100032024AN24B0100.pdf
Kindergarten Teachers,13486,2021,B10100032024AN24B0100.pdf
Primary Teachers,27811,2021,B10100032024AN24B0100.pdf
Secondary Teachers,29609,2021,B10100032024AN24B0100.pdf
Kindergarten Teachers,12644,2022,B10100032024AN24B0100.pdf
Primary Teachers,27407,2022,B10100032024AN24B0100.pdf
Secondary Teachers,29586,2022,B10100032024AN24B0100.pdf
Kindergarten Teachers,11733,2023,B10100032024AN24B0100.pdf
Primary Teachers,26971,2023,B10100032024AN24B0100.pdf
Secondary Teachers,29700,2023,B10100032024AN24B0100.pdf
