Action,Number,Total_Teachers,Year,Source,Source2
Cancellation of teacher registration,3,71790,2020-2021,edcb3-645-2-e.pdf,B10100032024AN24B0100.pdf
Reprimand letter,2,71790,2020-2021,edcb3-645-2-e.pdf,B10100032024AN24B0100.pdf
Written warning,3,71790,2020-2021,edcb3-645-2-e.pdf,B10100032024AN24B0100.pdf
Written advice,1,71790,2020-2021,edcb3-645-2-e.pdf,B10100032024AN24B0100.pdf
Verbal reminder / Record for future reference,0,71790,2020-2021,edcb3-645-2-e.pdf,B10100032024AN24B0100.pdf
Cancellation of teacher registration,1,70906,2021-2022,edcb3-645-2-e.pdf,B10100032024AN24B0100.pdf
Reprimand letter,0,70906,2021-2022,edcb3-645-2-e.pdf,B10100032024AN24B0100.pdf
Written warning,3,70906,2021-2022,edcb3-645-2-e.pdf,B10100032024AN24B0100.pdf
Written advice,2,70906,2021-2022,edcb3-645-2-e.pdf,B10100032024AN24B0100.pdf
Verbal reminder / Record for future reference,2,70906,2021-2022,edcb3-645-2-e.pdf,B10100032024AN24B0100.pdf
Cancellation of teacher registration,6,69637,2022-2023,edcb3-645-2-e.pdf,B10100032024AN24B0100.pdf
Reprimand letter,0,69637,2022-2023,edcb3-645-2-e.pdf,B10100032024AN24B0100.pdf
Written warning,3,69637,2022-2023,edcb3-645-2-e.pdf,B10100032024AN24B0100.pdf
Written advice,1,69637,2022-2023,edcb3-645-2-e.pdf,B10100032024AN24B0100.pdf
Verbal reminder / Record for future reference,1,69637,2022-2023,edcb3-645-2-e.pdf,B10100032024AN24B0100.pdf
Cancellation of teacher registration,11,68404,2023-2024,edcb3-645-2-e.pdf,B10100032024AN24B0100.pdf
Reprimand letter,2,68404,2023-2024,edcb3-645-2-e.pdf,B10100032024AN24B0100.pdf
Written warning,5,68404,2023-2024,edcb3-645-2-e.pdf,B10100032024AN24B0100.pdf
Written advice,0,68404,2023-2024,edcb3-645-2-e.pdf,B10100032024AN24B0100.pdf
Verbal reminder / Record for future reference,0,68404,2023-2024,edcb3-645-2-e.pdf,B10100032024AN24B0100.pdf
Cancellation of teacher registration,10,NA,2024-2025,edcb3-645-2-e.pdf,NA
Reprimand letter,3,NA,2024-2025,edcb3-645-2-e.pdf,NA
Written warning,7,NA,2024-2025,edcb3-645-2-e.pdf,NA
Written advice,1,NA,2024-2025,edcb3-645-2-e.pdf,NA
Verbal reminder / Record for future reference,0,NA,2024-2025,edcb3-645-2-e.pdf,NA
