Relationship,Number_of_Cases,Source_Year,Department,Data_Source,Page
Neighborhood /Schoolmate / Friend,171,2016,Police,HKP Overall Child Abuse Cases 2016 2021 Nov_recvd2022-01-14.pdf,2
Stranger,134,2016,Police,HKP Overall Child Abuse Cases 2016 2021 Nov_recvd2022-01-14.pdf,2
Lover,105,2016,Police,HKP Overall Child Abuse Cases 2016 2021 Nov_recvd2022-01-14.pdf,2
Family Member /Relative,60,2016,Police,HKP Overall Child Abuse Cases 2016 2021 Nov_recvd2022-01-14.pdf,2
Employer / Employee/ Colleague,1,2016,Police,HKP Overall Child Abuse Cases 2016 2021 Nov_recvd2022-01-14.pdf,2
Domestic Helper,5,2016,Police,HKP Overall Child Abuse Cases 2016 2021 Nov_recvd2022-01-14.pdf,2
Others,1,2016,Police,HKP Overall Child Abuse Cases 2016 2021 Nov_recvd2022-01-14.pdf,2
Neighborhood /Schoolmate / Friend,178,2017,Police,HKP Overall Child Abuse Cases 2016 2021 Nov_recvd2022-01-14.pdf,2
Stranger,130,2017,Police,HKP Overall Child Abuse Cases 2016 2021 Nov_recvd2022-01-14.pdf,2
Lover,113,2017,Police,HKP Overall Child Abuse Cases 2016 2021 Nov_recvd2022-01-14.pdf,2
Family Member /Relative,52,2017,Police,HKP Overall Child Abuse Cases 2016 2021 Nov_recvd2022-01-14.pdf,2
Employer / Employee/ Colleague,3,2017,Police,HKP Overall Child Abuse Cases 2016 2021 Nov_recvd2022-01-14.pdf,2
Domestic Helper,2,2017,Police,HKP Overall Child Abuse Cases 2016 2021 Nov_recvd2022-01-14.pdf,2
Others,0,2017,Police,HKP Overall Child Abuse Cases 2016 2021 Nov_recvd2022-01-14.pdf,2
Neighborhood /Schoolmate / Friend,170,2018,Police,HKP Overall Child Abuse Cases 2016 2021 Nov_recvd2022-01-14.pdf,2
Stranger,131,2018,Police,HKP Overall Child Abuse Cases 2016 2021 Nov_recvd2022-01-14.pdf,2
Lover,106,2018,Police,HKP Overall Child Abuse Cases 2016 2021 Nov_recvd2022-01-14.pdf,2
Family Member /Relative,44,2018,Police,HKP Overall Child Abuse Cases 2016 2021 Nov_recvd2022-01-14.pdf,2
Employer / Employee/ Colleague,2,2018,Police,HKP Overall Child Abuse Cases 2016 2021 Nov_recvd2022-01-14.pdf,2
Domestic Helper,2,2018,Police,HKP Overall Child Abuse Cases 2016 2021 Nov_recvd2022-01-14.pdf,2
Others,1,2018,Police,HKP Overall Child Abuse Cases 2016 2021 Nov_recvd2022-01-14.pdf,2
Neighborhood /Schoolmate / Friend,138,2019,Police,HKP Overall Child Abuse Cases 2016 2021 Nov_recvd2022-01-14.pdf,2
Stranger,123,2019,Police,HKP Overall Child Abuse Cases 2016 2021 Nov_recvd2022-01-14.pdf,2
Lover,102,2019,Police,HKP Overall Child Abuse Cases 2016 2021 Nov_recvd2022-01-14.pdf,2
Family Member /Relative,50,2019,Police,HKP Overall Child Abuse Cases 2016 2021 Nov_recvd2022-01-14.pdf,2
Employer / Employee/ Colleague,1,2019,Police,HKP Overall Child Abuse Cases 2016 2021 Nov_recvd2022-01-14.pdf,2
Domestic Helper,5,2019,Police,HKP Overall Child Abuse Cases 2016 2021 Nov_recvd2022-01-14.pdf,2
Others,3,2019,Police,HKP Overall Child Abuse Cases 2016 2021 Nov_recvd2022-01-14.pdf,2
Neighborhood /Schoolmate / Friend,143,2020,Police,HKP Overall Child Abuse Cases 2016 2021 Nov_recvd2022-01-14.pdf,2
Stranger,83,2020,Police,HKP Overall Child Abuse Cases 2016 2021 Nov_recvd2022-01-14.pdf,2
Lover,101,2020,Police,HKP Overall Child Abuse Cases 2016 2021 Nov_recvd2022-01-14.pdf,2
Family Member /Relative,56,2020,Police,HKP Overall Child Abuse Cases 2016 2021 Nov_recvd2022-01-14.pdf,2
Employer / Employee/ Colleague,3,2020,Police,HKP Overall Child Abuse Cases 2016 2021 Nov_recvd2022-01-14.pdf,2
Domestic Helper,0,2020,Police,HKP Overall Child Abuse Cases 2016 2021 Nov_recvd2022-01-14.pdf,2
Others,0,2020,Police,HKP Overall Child Abuse Cases 2016 2021 Nov_recvd2022-01-14.pdf,2
