CSA_Type,Number_of_Cases,Penetrative,Source_Year,Department,Data_Source,Page
Buggery,7,Yes,2016,Police,HKP Overall Child Abuse Cases 2016 2021 Nov_recvd2022-01-14.pdf,1
Gross Indecency,4,No,2016,Police,HKP Overall Child Abuse Cases 2016 2021 Nov_recvd2022-01-14.pdf,1
Incest,0,Yes,2016,Police,HKP Overall Child Abuse Cases 2016 2021 Nov_recvd2022-01-14.pdf,1
Indecent Assault,290,No,2016,Police,HKP Overall Child Abuse Cases 2016 2021 Nov_recvd2022-01-14.pdf,1
Indecent Conduct towards child under 16,33,No,2016,Police,HKP Overall Child Abuse Cases 2016 2021 Nov_recvd2022-01-14.pdf,1
Rape,13,Yes,2016,Police,HKP Overall Child Abuse Cases 2016 2021 Nov_recvd2022-01-14.pdf,1
Unlawful Sexual Intercourse,130,Yes,2016,Police,HKP Overall Child Abuse Cases 2016 2021 Nov_recvd2022-01-14.pdf,1
Buggery,8,Yes,2017,Police,HKP Overall Child Abuse Cases 2016 2021 Nov_recvd2022-01-14.pdf,1
Gross Indecency,8,No,2017,Police,HKP Overall Child Abuse Cases 2016 2021 Nov_recvd2022-01-14.pdf,1
Incest,1,Yes,2017,Police,HKP Overall Child Abuse Cases 2016 2021 Nov_recvd2022-01-14.pdf,1
Indecent Assault,294,No,2017,Police,HKP Overall Child Abuse Cases 2016 2021 Nov_recvd2022-01-14.pdf,1
Indecent Conduct towards child under 16,32,No,2017,Police,HKP Overall Child Abuse Cases 2016 2021 Nov_recvd2022-01-14.pdf,1
Rape,17,Yes,2017,Police,HKP Overall Child Abuse Cases 2016 2021 Nov_recvd2022-01-14.pdf,1
Unlawful Sexual Intercourse,118,Yes,2017,Police,HKP Overall Child Abuse Cases 2016 2021 Nov_recvd2022-01-14.pdf,1
Buggery,4,Yes,2018,Police,HKP Overall Child Abuse Cases 2016 2021 Nov_recvd2022-01-14.pdf,1
Gross Indecency,2,No,2018,Police,HKP Overall Child Abuse Cases 2016 2021 Nov_recvd2022-01-14.pdf,1
Incest,1,Yes,2018,Police,HKP Overall Child Abuse Cases 2016 2021 Nov_recvd2022-01-14.pdf,1
Indecent Assault,293,No,2018,Police,HKP Overall Child Abuse Cases 2016 2021 Nov_recvd2022-01-14.pdf,1
Indecent Conduct towards child under 16,21,No,2018,Police,HKP Overall Child Abuse Cases 2016 2021 Nov_recvd2022-01-14.pdf,1
Rape,24,Yes,2018,Police,HKP Overall Child Abuse Cases 2016 2021 Nov_recvd2022-01-14.pdf,1
Unlawful Sexual Intercourse,111,Yes,2018,Police,HKP Overall Child Abuse Cases 2016 2021 Nov_recvd2022-01-14.pdf,1
Buggery,8,Yes,2019,Police,HKP Overall Child Abuse Cases 2016 2021 Nov_recvd2022-01-14.pdf,1
Gross Indecency,1,No,2019,Police,HKP Overall Child Abuse Cases 2016 2021 Nov_recvd2022-01-14.pdf,1
Incest,0,Yes,2019,Police,HKP Overall Child Abuse Cases 2016 2021 Nov_recvd2022-01-14.pdf,1
Indecent Assault,278,No,2019,Police,HKP Overall Child Abuse Cases 2016 2021 Nov_recvd2022-01-14.pdf,1
Indecent Conduct towards child under 16,14,No,2019,Police,HKP Overall Child Abuse Cases 2016 2021 Nov_recvd2022-01-14.pdf,1
Rape,16,Yes,2019,Police,HKP Overall Child Abuse Cases 2016 2021 Nov_recvd2022-01-14.pdf,1
Unlawful Sexual Intercourse,105,Yes,2019,Police,HKP Overall Child Abuse Cases 2016 2021 Nov_recvd2022-01-14.pdf,1
Buggery,8,Yes,2020,Police,HKP Overall Child Abuse Cases 2016 2021 Nov_recvd2022-01-14.pdf,1
Gross Indecency,0,No,2020,Police,HKP Overall Child Abuse Cases 2016 2021 Nov_recvd2022-01-14.pdf,1
Incest,1,Yes,2020,Police,HKP Overall Child Abuse Cases 2016 2021 Nov_recvd2022-01-14.pdf,1
Indecent Assault,196,No,2020,Police,HKP Overall Child Abuse Cases 2016 2021 Nov_recvd2022-01-14.pdf,1
Indecent Conduct towards child under 16,29,No,2020,Police,HKP Overall Child Abuse Cases 2016 2021 Nov_recvd2022-01-14.pdf,1
Rape,26,Yes,2020,Police,HKP Overall Child Abuse Cases 2016 2021 Nov_recvd2022-01-14.pdf,1
Unlawful Sexual Intercourse,126,Yes,2020,Police,HKP Overall Child Abuse Cases 2016 2021 Nov_recvd2022-01-14.pdf,1
Buggery,6,Yes,2021,Police,HKP Child Sexual Abuse Figures 2021.pdf,1
Gross Indecency,0,No,2021,Police,HKP Child Sexual Abuse Figures 2021.pdf,1
Incest,1,Yes,2021,Police,HKP Child Sexual Abuse Figures 2021.pdf,1
Indecent Assault,357,No,2021,Police,HKP Child Sexual Abuse Figures 2021.pdf,1
Indecent Conduct towards child under 16,52,No,2021,Police,HKP Child Sexual Abuse Figures 2021.pdf,1
